"index","relation-type","term1","b1","e1","term2","b2","e2","sentence"
"971","TWrex-prevent","ADHD","76","80","methylphenidate","115","130","High and low-aggressive boys with attention deficit-hyperactivity disorder (ADHD) were compared and the effects of methylphenidate were examined on measures from three domains of aggression: (1) directly observed verbal and nonverbal aggressive behaviors exhibited in the context of a day treatment program, (2) aggressive responding when provoked during a laboratory task, and (3) social information processing patterns exhibited on tasks designed to tap the putative cognitive components of aggression"
"972","TWrex-prevent","herpes labialis","121","136","valacyclovir","5","19","Oral valacyclovir's efficacy and tolerability as suppressive therapy versus episodic therapy were compared for recurrent herpes labialis (RHL"
"973","TWrex-prevent","diabetes mellitus","106","123","glyburide","185","194","Both glyburide and glipizide provide safe and effective treatment for patients with non-insulin-dependent diabetes mellitus, but more patients will benefit from once-daily therapy with glyburide"
"974","TWrex-prevent","hepatitis","205","214","hepatitis b vaccine","85","104","A study to evaluate the safety and immunogenicity of a yeast derived recombinant DNA hepatitis B vaccine (Engerix-B) was conducted in healthy newborn infants born to low risk European mothers negative for hepatitis B surface antigen (HBsAg"
"975","TWrex-prevent","echinococcus","17","29","albendazole","113","124","Cotton rats with Echinococcus multilocularis infections of one month's standing were treated for six months with albendazole (50 mg kg-1 day-1), or praziquantel (500 mg kg-1 day-1), or both drugs simultaneously"
"976","TWrex-prevent","leukemia","268","276","idarubicin","29","39","These findings indicate that idarubicin--although it cannot replace established drugs for the chronic phase of the disease--represents an added therapeutic resource for producing rapid cytolysis at onset and, above all, in the accelerated phase of chronic myelogenous leukemia"
"977","TWrex-prevent","Ida","288","291","iron","76","80","Sleep alterations were still apparent years after correction of anemia with iron treatment in the absence of subsequent IDA. We suggest that altered sleep patterns may represent an underlying mechanism that interferes with optimal brain functioning during sleep and wakefulness in former IDA children"
"978","TWrex-prevent","pain","159","163","desipramine","103","114","In addition, isobolographic analyses indicated significant synergistic effects for all combinations of desipramine and fluoxetine in the PPQ model of visceral pain"
"979","TWrex-prevent","gallstone","130","140","acid","77","81","Since only cholesterol stones can be dissolved by cheno- and ursodeoxycholic acid we recommend measurement of the radiodensity of gallstones by CT prior to any litholytic therapy"
"980","TWrex-prevent","pyoderma gangrenosum","47","67","clofazimine","32","43","The mechanism for the effect of clofazimine in pyoderma gangrenosum is not known"
"981","TWrex-prevent","chronic hepatitis","136","153","interferon","198","208","New regimens consisting of pegylated interferons plus ribavirin may produce a sustained virologic response in more than 50% of cases of chronic hepatitis C. In contrast, the combination of standard interferon alfa and ribavirin, which was the standard of care until recently, produced a sustained virologic response in 35% to 40% of cases"
"982","TWrex-prevent","dental plaque","107","120","fluoride","19","27","Application of the fluoride varnish did not suppress the A. viscosus/naeslundii or S. mutans levels in the dental plaque"
"983","TWrex-prevent","emesis","153","159","dexamethasone","24","37","with metoclopramide and dexamethasone on days 2-7 experienced less delayed emesis, nausea and anorexia compared to those treated with a placebo (delayed emesis, 25 vs 50%, respectively, P = 0.105; more than four days of nausea, 10 vs 35%, respectively, P = 0.059; less than three days of anorexia, 80 vs 50%, respectively, P = 0.048"
"984","TWrex-prevent","HD","55","57","cddp","86","90","15 cases between 1977 and 1982 were given preoperative HD-MTX therapy, and cisplatin (CDDP) after surgery, if necessary"
"985","TWrex-prevent","angina","115","121","propranolol","50","61","The authors conclude that (1) Both celiprolol and propranolol largely reduce angina pectoris frequency in unstable angina pectoris"
"986","TWrex-prevent","atrial fibrillation","130","149","quinidine","13","22","In addition, quinidine and verapamil had a characteristic &quot;rate-smoothing&quot; effect on atrioventricular conduction during atrial fibrillation"
"987","TWrex-prevent","infection","36","46","amphotericin","91","103","Standard therapy of invasive fungal infections relies on the administration of intravenous amphotericin B. This agent is difficult to administer and toxic"
"988","TWrex-prevent","APL","173","176","trans retinoic acid","181","200","This is the first report in Israel of the successful treatment of acute promyelocytic leukemia (APL; M3) with an active metabolite of vitamin A. In a 42-year-old woman with APL all-trans-retinoic acid (ATRA; tretinoin), 45 mg/m2/day was given per os for 90 days"
"989","TWrex-prevent","varicella","50","59","aciclovir","78","87","Brivudine shows greater effectiveness against the varicella-zoster virus than aciclovir and its derivatives, and can be given just once a day for seven days, compared to multiple doses of the latter"
"990","TWrex-prevent","lymphoblastic lymphoma","96","118","+ Cy","67","71","Twelve patients have received transplants, five with AML (after Bu + Cy conditioning), six with lymphoblastic lymphoma and one with Hodgkin's disease (with TBI + Cy conditioning"
"991","TWrex-prevent","aspergillosis","149","162","amphotericin b","53","67","We compared the activity of aminocandin with that of amphotericin B (AmB), itraconazole (ITC) and caspofungin (CAS) in murine models of disseminated aspergillosis against three strains of A. fumigatus, two of which were fully susceptible (AF293 and A1163) and one was resistant to ITC (AF91"
"992","TWrex-prevent","hepatitis","65","74","hbsag","160","165","The cases presented document the prognostic relevance of chronic hepatitis B virus infection in renal transplant recipients and illustrate that an asymptomatic HBsAg carrier state can evolve within a very short time to fatal liver disease"
"993","TWrex-prevent","TIA","33","36","warfarin","158","166","Clinical deterioration, or a new TIA or stroke was more likely (p = 0.01) during the 24 hours after heparin was stopped in patients not already on aspirin or warfarin (10/143, 7%) than in patients receiving aspirin or warfarin before heparin withdrawal (3/215, 1%"
"994","TWrex-prevent","epilepsy","204","212","gabapentin","0","10","Gabapentin is one of the new first-generation AEDs that expanded its use into a broad range of neurologic and psychiatric disorders shortly after it was licensed in 1993 for use in drug-resistant partial epilepsy with or without secondary generalization"
"995","TWrex-prevent","ulcer","105","110","sucralfate","21","31","It is concluded that sucralfate 1 gm BID for 6 months is an effective maintenance treatment for duodenal ulcer, but has no beneficial effect on either H pylori antral colonization or antral gastritis"
"996","TWrex-prevent","acne","173","177","peroxide","55","63","A clinical trial using tretinoin lotion 0.05%, benzoyl peroxide 5% and 10% as topical application was performed on 250 ambulatory patients suffering from various degrees of acne vulgaris"
"997","TWrex-prevent","pain","95","99","naproxen sodium","110","125","In patients with dysmenorrhoea, valdecoxib 20 or 40 mg up to twice daily provided as effective pain relief as naproxen sodium 550 mg twice daily"
"998","TWrex-prevent","polio","228","233","inactivated polio vaccine","38","63","In Australia the change to the use of inactivated polio vaccine (IPV), while more costly, will avoid the very low risk of vaccine associated paralytic poliomyelitis (one case per 2.5 million doses) and maintain immunity against polio"
"999","TWrex-prevent","hepatitis","346","355","ribavirin","158","167","Since the pivotal trials conducted over the last few years which have used the combination of pegylated interferon along with fixed low doses (800 mg/day) of ribavirin and have provided treatment for 12 months, regardless the kinetics of hepatitis C virus (HCV) viral load during therapy, great progress has been made in the treatment of chronic hepatitis C in HIV-infected patients"
"1000","TWrex-prevent","night blindness","209","224","vitamin a","158","167","After delivery, women were also interviewed at approximately 3 and approximately 6 mo postpartum to elicit a night blindness history over the preceding 3 mo. Vitamin A supplementation reduced the incidence of night blindness during pregnancy from 10.7% among controls to 6.7% (relative risk 0.62, 95% confidence interval: 0.45-0.85"
"1001","TWrex-prevent","tinea","48","53","ketoconazole","105","117","Sixty-two patients with mycologically confirmed tinea pedis received two different treatment regimens of ketoconazole 2% cream on a randomized double-blind basis for 1 month with weekly evaluations"
"1002","TWrex-prevent","infection","45","55","amphotericin","159","171","An incidence of up to 30% of systemic fungal infections at autopsy, and difficulties in diagnosing systemic mycosis antemortem, have led to the empiric use of amphotericin B in patients with hematological malignancies"
"1003","TWrex-prevent","disease","162","169","foscarnet","221","230","Patients exhibiting symptoms and signs of primary or reactivated CMV infection should be further evaluated with appropriate laboratory tests, as treatment of CMV disease with antiviral chemotherapy such as ganciclovir or foscarnet, has proven to be effective"
"1004","TWrex-prevent","hepatitis","191","200","hepatitis a","124","135","Moreover, the mean duration of parenteral drug abuse was significantly lower among non-A, non-B cases than in patients with hepatitis A or B. These results suggest a wide circulation of both hepatitis B virus and non-A, non-B agent(s) among drug abusers in our area"
"1005","TWrex-prevent","pain","152","156","capsaicin","13","22","Injection of capsaicin into the skin of the chin to stimulate the mandibular (third) division of the trigeminal nerve and into the leg led to a similar pain perception and failed to produce any significant change in vessel caliber"
"1006","TWrex-prevent","contraction","155","167","lidocaine","14","23","Intramuscular lidocaine administration is known to produce blood concentration levels considered to be therapeutic for prevention of premature ventricular contractions"
"1007","TWrex-prevent","lv hypertrophy","262","276","enalapril","316","325","Blood pressure, body mass index, echocardiographic LV mass and LV geometry, EF and stress-corrected MWS, LV diastolic filling (peak E- and A-wave velocities, E-wave deceleration time, and atrial filling fraction) were evaluated in 212 hypertensive patients with LV hypertrophy enrolled in the Prospective Randomized Enalapril Study Evaluating Regression of Ventricular Enlargement study"
"1008","TWrex-prevent","hepatitis","139","148","hepatitis a","124","135","All available data on monovalent and combined hepatitis A and hepatitis B vaccines indicates that there is no support for a hepatitis A or hepatitis B booster when a complete primary vaccination course is offered to immunocompetent individuals"
"1009","TWrex-prevent","disease","92","99","CVA","242","245","Our hypothesis was that insulin-dependent (IDDM) transplant candidates with coronary artery disease identified with pretransplant coronary angiography would have an increased number of vascular events (amputation, cerebral vascular accident [CVA], or myocardial infarction [MI]) within 3 years of follow-up"
"1010","TWrex-prevent","oesophagitis","231","243","sucralfate","129","139","A useful, long-lasting cytoprotective activity (apparently more prominent in BPC 157 rats, than in reference agents, ranitidine, sucralfate, as well as cholestyramine) may be a likely suitable therapy in otherwise resistant reflux oesophagitis conditions"
"1011","TWrex-prevent","ulcer","109","114","cimetidine","53","63","Six DU patients (30%) failed to heal with 4 weeks of cimetidine therapy; all six showed invasion of duodenal ulcer mucosa with Candida on histology"
"1012","TWrex-prevent","fibrillation","152","164","propranolol","84","95","Experiments on anesthetized dogs have shown that intravenous infusion of 1 mg/kg of propranolol has no essential effect on the threshold of ventricular fibrillation, but considerably reduces the duration of the vulnerable period"
"1013","TWrex-prevent","infarction","128","138","aspirin","182","189","The clinical evidence, however, which shows a reduction of 20% to 25% in the incidence of vascular death, stroke, or myocardial infarction, is based on trials with 300 to 1300 mg of aspirin per day"
"1014","TWrex-prevent","diabetes","188","196","glibenclamide","59","72","A clinical and metabolic study of 32 patients treated with glibenclamide for a period of about one year confirmed that the drug is a potent stimulator of insulin release in maturity onset diabetes, and glibenclamide continued to have this action after a period of eight months"
"1015","TWrex-prevent","heart failure","33","46","enalapril maleate","126","143","In some studies in patients with heart failure, a decline in renal function occurred more frequently in patients treated with enalapril maleate, a longer-acting agent, than in those treated with captopril, a shorter-acting drug"
"1016","TWrex-prevent","tetanus","275","282","tetanus toxoid","230","244","Two increases of diphtheria antitoxin levels greater than 0.1 IU/ml and tetanus antitoxin levels greater than 1.0 IU/ml were apparent, starting at 4 and 14 years of age, which correspond with the policy of giving a diphtheria and tetanus toxoid booster on school entry and a tetanus plus low-dose diphtheria toxoid (recently introduced) booster to school leavers"
"1017","TWrex-prevent","cmv infection","73","86","ganciclovir","113","124","To determine if the effects of ganciclovir were masked by pre-1998 data, CMV infection and CMV disease rates for ganciclovir-treated patients (n = 62) were censored at 1 year and compared with acyclovir-treated patients (n = 287"
"1018","TWrex-prevent","disorder","281","289","hydrochloride","308","321","Concentrations of the serotonin metabolite 5-hydroxyindoleacetic acid (5-HIAA), the dopamine metabolite homovanillic acid, and the noradrenaline metabolite 4-hydroxy-3-methoxyphenyl glycol were measured in CSF before and after three weeks' treatment of severe obsessive-compulsive disorder with clomipramine hydrochloride"
"1019","TWrex-prevent","emesis","613","619","ondansetron","333","344","The effect of T-2328 {2-fluoro-4'-methoxy-3'-[[[(2S,3S)-2-phenyl-3-piperidinyl]amino]methyl]-[1,1'-biphenyl]-4-carbonitrile dihydrochloride}, a novel tachykinin NK(1)-receptor antagonist, was examined on cisplatin-induced emesis in ferrets. Cisplatin induced acute emesis in 24 h and delayed emesis during 24 and 72 h, respectively. Ondansetron, a 5-HT(3) antagonist, almost completely blocked the acute emesis and transiently reduced the delayed emesis. In contrast, T-2328 elicited long-lasting anti-emetic effects on both acute and delayed phases by a single intravenous administration. Suppression of delayed emesis was not due to elimination of the acute phase because the delayed emesis was also suppressed by administration after the onset of delayed emesis. Persistent blockade of NK(1) receptors in the brain was demonstrated by inhibition of the NK(1) agonist-induced foot tapping response for over 24 h. An appreciable amount of T-2328 was present in the brain 32 and 72 h after the injection. The NK(1) agonist-induced contractions of isolated ileum in guinea pigs was antagonized with IC(50) values of 1.4 nM in an insurmountable manner"
"1020","TWrex-prevent","blastomycosis","58","71","amphotericin b","28","42","ketoconazole should replace amphotericin B as therapy for blastomycosis that is not life threatening"
"1021","TWrex-prevent","hypertension","237","249","carvedilol","33","43","The acute haemodynamic effect of carvedilol, a new non-selective beta-receptor blocker with vasodilating effect, was examined at rest supine and sitting and during 100 W bicycle exercise in 18 patients (mean age 44 years) with essential hypertension"
"1022","TWrex-prevent","OCD","82","85","hydrochloride","27","40","The effect of clomipramine hydrochloride in severe obsessive-compulsive disorder (OCD) was compared with that of nortriptyline hydrochloride and placebo in a five-week randomized, double-blind trial"
"1023","TWrex-prevent","pain","76","80","lidocaine","23","32","Utilizing the NPS, the lidocaine patch 5% was effective in treating chronic pain of both neuropathic and non-neuropathic origins suggesting that a given treatment's effect on various pain qualities may be consistent across pain types"
"1024","TWrex-prevent","acute promyelocytic leukemia","73","101","retinoic acid","296","309","Expression of PML/RAR alpha fusion protein in human HPC/HSC dictates the acute promyelocytic leukemia (APL) phenotype, largely through these previously unreported effects: rapid induction of HPC/HSC differentiation to the promyelocytic stage, followed by maturation arrest, which is abolished by retinoic acid; reprogramming of HPC commitment to preferential granulopoietic differentiation, irrespective of the HGF stimulus (transduction of single sibling HPC formally demonstrated this effect); HPC protection from apoptosis induced by HGF deprivation"
"1025","TWrex-prevent","cytomegalovirus","18","33","ganciclovir","43","54","The resistance of cytomegalovirus (CMV) to ganciclovir is a factor in therapeutic failure and disease progression"
"1026","TWrex-prevent","pneumonia","84","93","oxygen","164","170","In Japan, pulmonary emphysema, sequelae of pulmonary tuberculosis, and interstitial pneumonia/pulmonary fibrosis are the 3 major diseases currently treated by home oxygen therapy"
"1027","TWrex-prevent","caries","101","107","fluoride","26","34","This study confirmed that fluoride incorporated in Florish and Close-Up showed significant levels of caries reduction (P"
"1028","TWrex-prevent","gall stone","79","90","UDCA","135","139","We conclude that bile acid treatment should be confined to patients with small gall stones and that bedtime administration of combined UDCA and CDCA is likely to provide the most effective and safe combination"
"1029","TWrex-prevent","epilepsy","28","36","antiepileptic drug","81","100","The incidence of refractory epilepsy remains high despite the influx of many new antiepileptic drugs (AEDs) over the past 10 years"
"1030","TWrex-prevent","salmonella","5","15","acid","81","85","Many Salmonella isolates exhibited resistance to tetracycline (63.4%), nalidixic acid (63.4%), and streptomycin (61.0%"
"1031","TWrex-prevent","infarction","227","237","propranolol","144","155","The beta-Blocker Heart Attack Trial (BHAT) was a placebo-controlled, randomized, double-blind clinical trial of the long-term administration of propranolol hydrochloride to persons who had had at least one confirmed myocardial infarction"
"1032","TWrex-prevent","infarction","62","72","propranolol","135","146","A double-blind study was made of men who had had a myocardial infarction at least one year previously, and who were being treated with propranolol, atenolol, or placebo"
"1033","TWrex-prevent","pain","53","57","lidocaine","100","109","The lidocaine-fentanyl group exhibited less visceral pain (6.5% vs. 36.7%), less supplementation of lidocaine (6.5% vs. 43.3%), and less nausea (6.5% vs. 26.7%) compared with the lidocaine-saline group during the intraoperative period"
"1034","TWrex-prevent","cmv infection","38","51","gancyclovir","112","123","Eight patients (20%) had asymptomatic CMV infection while 24 (60%) developed CMV syndrome and were treated with gancyclovir (10 mg/kg/day intravenously for 3 weeks"
"1035","TWrex-prevent","disease","189","196","omeprazole","41","51","In conclusion, 2 weeks of treatment with omeprazole plus amoxicillin or clarithromycin are highly and equally effective regimens to cure H. pylori infection in patients with duodenal ulcer disease"
"1036","TWrex-prevent","infection","73","83","aciclovir","188","197","Aciclovir is an efficient drug for the treatment of herpes simplex virus infections and resistance to this drug has been reported mainly in immunocompromised patients during the course of aciclovir treatment"
"1037","TWrex-prevent","malaria","169","176","quinine","84","91","Therefore, these studies indicate that Plasmodium falciparum are still sensitive to quinine and quinine remains to be the drug of choice for the treatment of falciparum malaria in Thailand"
"1038","TWrex-prevent","CMV","91","94","acyclovir","193","202","To determine if the effects of ganciclovir were masked by pre-1998 data, CMV infection and CMV disease rates for ganciclovir-treated patients (n = 62) were censored at 1 year and compared with acyclovir-treated patients (n = 287"
"1039","TWrex-prevent","psoriasis","58","67","methotrexate","23","35","Both cyclosporin A and methotrexate treatment reduced the psoriasis area severity index score after 12 weeks of treatment"
"1040","TWrex-prevent","hemophilia a","189","201","FVIII","165","170","FVIII clotting activity levels in hemophilia A mice with intravenous injection of AAV8-beta-actin-cFVIII also were increased dose-dependently, achieving therapeutic FVIII levels (5-90%) in hemophilia A mice with the AAV8-beta-actin-cFVIII doses of 1-3 x 10(11) gc/body and supernormal FVIII levels (180-670%) in hemophilia A mice with the AAV8-beta-actin-cFVIII dose of 1 x 10(12) gc/body"
"1041","TWrex-prevent","nausea","88","94","scopolamine","144","155","Although the vestibular center seems to have a lesser influence on chemotherapy-induced nausea and vomiting, vestibular blocking agents such as scopolamine may have a potential role as adjunctive antiemetics"
"1042","TWrex-prevent","pain","170","174","paracetamol","73","84","Trials were eligible if they were randomized controlled trials comparing paracetamol to no treatment, placebo or another treatment in patients with non-specific low back pain"
"1043","TWrex-prevent","malaria","294","301","chloroquine","110","121","Phenylurenyl chalcone derivatives have been synthesized and tested as inhibitors of in vitro development of a chloroquine-resistant strain of Plasmodium falciparum, activity of the cysteine protease falcipain-2, in vitro globin hydrolysis, beta-hematin formation, and murine Plasmodium berghei malaria"
"1044","TWrex-prevent","tetanus","54","61","toxoid","62","68","The PBMC were stimulated with birch-pollen extract or tetanus toxoid (TT) and mitogens"
"1045","TWrex-prevent","hypertension","74","86","losartan","144","152","Many patients requiring anticoagulant therapy with warfarin also may have hypertension or heart failure, and thus, are potential candidates for losartan therapy"
"1046","TWrex-prevent","infection","220","230","liposomal amphotericin b","46","70","The targeted delivery and reduced toxicity of liposomal amphotericin B improves the therapeutic index of amphotericin B. Although liposomes have been shown to effectively treat a variety of experimental and human fungal infections, the optimal composition of liposomal amphotericin has not been established"
"1047","TWrex-prevent","vomiting","11","19","dexamethasone","49","62","Nausea and vomiting were controlled by high-dose dexamethasone in most children"
"1048","TWrex-prevent","nausea","128","134","ondansetron","28","39","On the day of radiotherapy, ondansetron achieved significantly greater control of vomiting and retching (P less than 0.001) and nausea (P = 0.001) than metoclopramide"
"1049","TWrex-prevent","CIDP","169","173","ivig","84","88","In placebo-controlled, double-blind, randomized trials, intravenous immunoglobulin (IVIg) has been effective for CIDP and MMN, and plasmapheresis has been effective for CIDP"
